floor,0,0,128,64,64
floor,1,128,128,64,64
floor,2,256,128,64,64
floor,3,384,128,64,64
floor,4,512,128,64,64
floor,5,640,128,64,64
wall,0,768,128,64,64
wall,1,896,128,64,64
wall,2,1024,128,64,64
wall,3,1152,128,64,64
top,0,1280,128,64,64
top,1,1408,128,64,64
top,2,1536,128,64,64
top,3,1664,128,64,64
deco,0,1792,128,64,64
deco,1,1920,128,64,64
deco,2,0,0,64,64
deco,3,128,0,64,128
deco,4,256,0,64,64
deco,5,384,0,64,128
deco,6,512,0,64,128
deco,7,640,0,96,143
lava,0,768,0,64,64
lava,1,896,0,64,64
lava,2,1024,0,64,64
lava,3,1152,0,64,64
lava,4,1280,0,64,64
lava,5,1408,0,64,64
lava,6,1536,0,64,64
center,0,1664,0,96,66
