floor,0,0,128,64,64
floor,1,128,128,64,64
floor,2,256,128,64,64
floor,3,384,128,64,64
floor,4,512,128,64,64
floor,5,640,128,64,64
floor,6,768,128,64,64
floor,7,896,128,64,64
wall,0,1024,128,64,64
wall,1,1152,128,64,64
wall,2,1280,128,64,64
wall,3,1408,128,64,64
top,0,1536,128,64,64
top,1,1664,128,64,64
top,2,1792,128,64,64
top,3,1920,128,64,64
deco,0,0,0,64,64
deco,1,128,0,64,64
deco,2,256,0,64,64
deco,3,384,0,64,95
deco,4,512,0,64,95
deco,5,640,0,64,95
deco,6,768,0,64,63
deco,7,896,0,64,63
deco,8,1024,0,64,64
patch,0,1152,0,64,64
patch,1,1280,0,64,64
center,0,1408,0,64,63
